Label,SFHA Penetration Rate
"Anderson County, Texas",3.9
"Andrews County, Texas",
"Angelina County, Texas",19.2
"Aransas County, Texas",57.1
"Archer County, Texas",41.3
"Armstrong County, Texas",
"Atascosa County, Texas",8.2
"Austin County, Texas",47.8
"Bailey County, Texas",4
"Bandera County, Texas",10.8
"Bastrop County, Texas",19.9
"Baylor County, Texas",2.3
"Bee County, Texas",14.3
"Bell County, Texas",26.6
"Bexar County, Texas",24.1
"Blanco County, Texas",10.9
"Borden County, Texas",
"Bosque County, Texas",4.1
"Bowie County, Texas",15.1
"Brazoria County, Texas",38.8
"Brazos County, Texas",41.5
"Brewster County, Texas",16.9
"Briscoe County, Texas",
"Brooks County, Texas",5.5
"Brown County, Texas",13.2
"Burleson County, Texas",9
"Burnet County, Texas",45.4
"Caldwell County, Texas",33.7
"Calhoun County, Texas",39.2
"Callahan County, Texas",
"Cameron County, Texas",23.2
"Camp County, Texas",
"Carson County, Texas",8.8
"Cass County, Texas",4.9
"Castro County, Texas",
"Chambers County, Texas",34.7
"Cherokee County, Texas",12.4
"Childress County, Texas",
"Clay County, Texas",8.8
"Cochran County, Texas",
"Coke County, Texas",1.8
"Coleman County, Texas",3.5
"Collin County, Texas",29
"Collingsworth County, Texas",8.9
"Colorado County, Texas",17
"Comal County, Texas",51.5
"Comanche County, Texas",9.8
"Concho County, Texas",
"Cooke County, Texas",15.2
"Coryell County, Texas",18.8
"Cottle County, Texas",
"Crane County, Texas",
"Crockett County, Texas",5.6
"Crosby County, Texas",14.3
"Culberson County, Texas",6.3
"Dallam County, Texas",7.7
"Dallas County, Texas",34.8
"Dawson County, Texas",9
"Deaf Smith County, Texas",
"Delta County, Texas",
"Denton County, Texas",27
"DeWitt County, Texas",19.1
"Dickens County, Texas",
"Dimmit County, Texas",5.9
"Donley County, Texas",2.2
"Duval County, Texas",2.6
"Eastland County, Texas",7.9
"Ector County, Texas",12.5
"Edwards County, Texas",
"Ellis County, Texas",32.2
"El Paso County, Texas",16.6
"Erath County, Texas",12
"Falls County, Texas",
"Fannin County, Texas",21.5
"Fayette County, Texas",11.4
"Fisher County, Texas",
"Floyd County, Texas",2.1
"Foard County, Texas",20
"Fort Bend County, Texas",48.1
"Franklin County, Texas",18.8
"Freestone County, Texas",5.1
